取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/05/05 18:19:43,-,1,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04701195464988352515
2025/05/05 09:21:13,240,-,-,-,-,-,支払い,NewDays - NewDays東京テレポート,PayPay残高,-,-,04700917924201365504
2025/05/04 21:49:51,-,3,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04700561587944816641
2025/05/04 21:49:51,724,-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04700561587944816641
2025/05/04 12:43:34,"4,000",-,-,-,-,-,支払い,Appleサービス,"PayPayポイント (14円), PayPay残高 (3,986円)",-,-,04700280044248203267
2025/05/04 12:43:34,-,19,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04700280044248203267
2025/05/04 04:54:32,-,"5,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01988890027010629632
2025/05/03 21:51:47,201,-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,"PayPayポイント (3円), PayPay残高 (198円)",-,-,04699820422618267654
2025/05/03 12:14:01,-,"2,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01988374364647137289
2025/05/02 18:24:15,"9,900",-,-,-,-,-,支払い,Tokyo Disney Resort オンライン予約・購入,PayPay残高,-,-,04698971290403840000
2025/05/02 18:24:15,-,49,-,-,-,-,ポイント、残高の獲得,Tokyo Disney Resort オンライン予約・購入,PayPayポイント,-,-,04698971290403840000
2025/05/01 13:20:54,"4,240",-,-,-,-,-,支払い,Appleサービス,"PayPayポイント (3円), PayPay残高 (4,237円)",-,-,04698072774655459328
2025/05/01 13:20:54,-,21,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04698072774655459328
2025/05/01 12:35:30,-,"15,000",-,-,-,-,チャージ,PayPay,セブン銀行ATM,-,-,01986901087785222152
2025/04/30 22:24:04,-,56,-,-,-,-,ポイント、残高の獲得,ZOZOTOWN,PayPayポイント,-,-,04695654793967296513
2025/04/30 21:23:11,-,14,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04697579162654121987
2025/04/30 21:23:11,"2,976",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04697579162654121987
2025/04/30 18:43:06,-,"4,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01986348377034006543
2025/04/29 23:58:56,"1,200",-,-,-,-,-,支払い,Steam,"PayPayポイント (4円), PayPay残高 (1,196円)",-,-,04696917265243856896
2025/04/29 23:58:55,-,5,-,-,-,-,ポイント、残高の獲得,Steam,PayPayポイント,-,-,04696917265243856896
2025/04/28 07:09:24,"11,220",-,-,-,-,-,支払い,ZOZOTOWN,"PayPayポイント (6円), PayPay残高 (11,214円)",-,-,04695654793967296513
2025/04/28 06:57:45,-,"11,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01984500510304116738
2025/04/27 21:48:09,143,-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04695365527919501315
2025/04/26 21:45:59,"3,388",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,"PayPayポイント (48円), PayPay残高 (3,340円)",-,-,04694622240879665152
2025/04/26 21:45:59,-,16,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04694622240879665152
2025/04/26 20:15:28,-,"5,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01983427301056536583
2025/04/23 14:52:07,-,9,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04692182415986221060
2025/04/23 14:52:07,"1,810",-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04692182415986221060
2025/04/22 14:25:26,-,5,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04691426493152608273
2025/04/22 14:25:26,"1,051",-,-,-,-,-,支払い,ローソン - 海老名上今泉二丁目,"PayPayポイント (21円), PayPay残高 (1,030円)",-,-,04691426493152608273
2025/04/22 08:30:46,-,"1,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01980095420046655494
2025/04/20 12:01:53,138,-,-,-,-,-,支払い,ローソン - 世田谷砧五丁目,"PayPayポイント (5円), PayPay残高 (133円)",-,-,04689868175937748993
2025/04/17 12:27:28,-,1,-,-,-,-,ポイント、残高の獲得,マクドナルドモバイルオーダー,PayPayポイント,-,-,04687654695822573574
2025/04/17 12:27:10,290,-,-,-,-,-,支払い,マクドナルドモバイルオーダー,"PayPayポイント (3円), PayPay残高 (287円)",-,-,04687654695822573574
2025/04/15 14:09:31,850,-,-,-,-,-,送った金額,tomsdayo,PayPay残高,-,-,01975074818025332740
2025/04/15 12:51:38,-,"2,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01975034677261033478
2025/04/12 11:25:06,-,2,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04683911846570835975
2025/04/12 11:25:06,408,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04683911846570835975
2025/04/12 11:10:38,416,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,"PayPayポイント (110円), PayPay残高 (306円)",-,-,04683904399096971264
2025/04/12 11:10:38,-,1,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04683904399096971264
2025/04/11 14:18:00,-,222,-,-,-,-,受け取った金額,まな,PayPay残高,-,-,01972110517496594432
2025/04/11 14:16:10,530,-,-,-,-,-,支払い,デイリーヤマザキ - 横浜駅前,"PayPayポイント (3円), PayPay残高 (527円)",-,-,04683257851900182529
2025/04/11 14:16:10,-,2,-,-,-,-,ポイント、残高の獲得,デイリーヤマザキ,PayPayポイント,-,-,04683257851900182529
2025/04/11 11:59:31,-,"2,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01972039135140249604
2025/04/09 16:46:46,-,6,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04681851121260249094
2025/04/09 16:46:46,"1,220",-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04681851121260249094
2025/04/09 16:46:43,320,-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04681851104081125377
2025/04/09 16:46:43,-,1,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04681851104081125377
2025/04/04 12:39:04,"1,043",-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04678012614498549767
2025/04/04 12:39:04,-,5,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04678012614498549767
2025/04/04 09:45:00,-,9,-,-,-,-,ポイント、残高の獲得,日本工学院,PayPayポイント,-,-,04677922892632088581
2025/04/04 09:45:00,"1,920",-,-,-,-,-,支払い,日本工学院,PayPay残高,-,-,04677922892632088581
2025/04/03 12:55:42,-,3,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04677279008313933832
2025/04/03 12:55:42,721,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04677279008313933832
2025/04/02 23:03:15,-,"2,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01965701687554285583
2025/04/02 12:57:12,194,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04676537619649200130
2025/04/01 12:49:30,797,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04675791480750030857
2025/04/01 12:49:30,-,3,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04675791480750030857
2025/04/01 06:18:44,"1,000",-,-,-,-,-,期間限定ポイントの期限切れ,-,PayPayポイント,-,-,03691389073718665282
2025/03/31 21:14:43,-,"4,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01964161417792913408
2025/03/30 11:07:34,900,-,-,-,-,-,支払い,Steam,"PayPayポイント (7円), PayPay残高 (893円)",-,-,04674254595422838790
2025/03/30 11:07:33,-,4,-,-,-,-,ポイント、残高の獲得,Steam,PayPayポイント,-,-,04674254595422838790
2025/03/29 21:49:48,"1,376",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,"PayPayポイント (10円), PayPay残高 (1,366円)",-,-,04673843438203625472
2025/03/29 21:49:48,-,6,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04673843438203625472
2025/03/29 20:55:27,-,"2,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01962667138541756436
2025/03/25 18:24:49,-,30,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04670769100612132870
2025/03/25 18:24:49,"6,000",-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04670769100612132870
2025/03/25 18:23:53,-,"3,600",-,-,-,-,受け取った金額,りいち,PayPay残高,-,-,01959620340280655891
2025/03/25 15:57:08,-,18,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04670692985201844230
2025/03/25 15:57:08,"3,600",-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04670692985201844230
2025/03/25 15:50:10,-,"6,000",-,-,-,-,チャージ,PayPay,セブン銀行ATM,-,-,01959541115314298880
2025/03/23 14:09:25,-,21,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04669153127756898310
2025/03/23 14:09:25,"4,260",-,-,-,-,-,支払い,Appleサービス,"PayPayポイント (21円), PayPay残高 (4,239円)",-,-,04669153127756898310
2025/03/20 17:30:27,-,5,-,-,-,-,ポイント、残高の獲得,Amazon.co.jp,PayPayポイント,-,-,04667030219911462915
2025/03/20 17:30:26,"1,100",-,-,-,-,-,支払い,Amazon.co.jp,PayPay残高,-,-,04667030219911462915
2025/03/19 17:04:22,-,"1,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01955126344200159236
2025/03/18 17:21:01,-,"2,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01954392755196829700
2025/03/17 12:55:53,-,"2,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01953513936167018505
2025/03/17 10:54:27,-,3,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04664599620606910466
2025/03/17 10:54:27,640,-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04664599620606910466
2025/03/16 21:45:37,95,-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04664193059002236933
2025/03/16 14:19:07,98,-,-,-,-,-,支払い,Steam,PayPay残高,-,-,04663962943245213696
2025/03/14 05:22:19,843,-,-,-,-,-,支払い,NewDays - ＮｅｗＤａｙｓ＋ハナガタヤＧ東京,PayPay残高,-,-,04662201929344139267
2025/03/13 21:17:05,-,74,-,-,-,-,ポイント、残高の獲得,Tokyo Disney Resort オンライン予約・購入,PayPayポイント,-,-,04661951841988329479
2025/03/13 21:17:05,"14,800",-,-,-,-,-,支払い,Tokyo Disney Resort オンライン予約・購入,PayPay残高,-,-,04661951841988329479
2025/03/13 21:12:57,-,"15,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01950801432391303184
2025/03/13 18:17:46,-,32,-,-,-,-,ポイント、残高の獲得,Amazon.co.jp,PayPayポイント,-,-,04661859422881800192
