取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2026/05/22 09:38:22,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02273287548618866691
2026/05/21 12:51:54,"1,272",-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04983793412541202435
2026/05/21 12:51:54,-,6,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04983793412541202435
2026/05/21 08:01:40,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02272495539468779526
2026/05/21 07:10:35,780,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04983617490682150912
2026/05/21 07:10:34,-,3,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04983617490682150912
2026/05/20 23:33:02,160,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04983381671206404097
2026/05/20 23:32:20,160,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04983381310429356035
2026/05/20 23:30:18,160,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04983380262457491458
2026/05/20 21:40:28,160,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04983323663377858560
2026/05/20 20:49:14,160,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04983297249329487878
2026/05/19 20:42:31,160,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04982551625826926596
2026/05/18 13:43:47,-,4,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04981593633371906065
2026/05/18 13:43:47,894,-,-,-,-,-,支払い,ファミリーマート - 愛甲石田駅前,PayPay残高,-,-,04981593633371906065
2026/05/16 21:38:55,"2,641",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04980354183119167488
2026/05/16 21:38:55,-,13,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04980354183119167488
2026/05/15 17:57:36,-,9,-,-,-,-,ポイント、残高の獲得,マルエツ,PayPayポイント,-,-,04979497938439086081
2026/05/15 17:57:36,"1,835",-,-,-,-,-,支払い,マルエツ - 愛甲石田店,PayPay残高,-,-,04979497938439086081
2026/05/15 12:55:22,-,4,-,-,-,-,ポイント、残高の獲得,吉野家,PayPayポイント,-,-,04979342168564989961
2026/05/15 12:55:22,833,-,-,-,-,-,支払い,吉野家 - 東京工科大学店,PayPay残高,-,-,04979342168564989961
2026/05/15 09:49:26,-,294,-,-,-,-,ポイント、残高の獲得,Amazon.co.jp,PayPayポイント,-,-,04979246339254804483
2026/05/15 09:49:25,"58,983",-,-,-,-,-,支払い,Amazon.co.jp,PayPay残高,-,-,04979246339254804483
2026/05/15 09:45:12,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02268095886639636480
2026/05/15 09:32:46,-,"60,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02268089469958799365
2026/05/15 07:08:15,-,"5,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02268014986635739148
2026/05/14 17:30:10,-,1,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04978741629058310149
2026/05/14 17:30:10,340,-,-,-,-,-,支払い,セブン-イレブン - 厚木愛甲東,PayPay残高,-,-,04978741629058310149
2026/05/14 11:57:12,-,10,-,-,-,-,ポイント、残高の獲得,Amazon Downloads,PayPayポイント,-,-,04978570010754572293
2026/05/14 11:57:10,"2,178",-,-,-,-,-,支払い,Amazon Downloads,PayPay残高,-,-,04978570010754572293
2026/05/12 20:50:27,160,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04977360513603797000
2026/05/12 20:28:18,650,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04977349106167603200
2026/05/12 20:28:18,-,3,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04977349106167603200
2026/05/12 15:45:40,-,"1,500",-,-,-,-,ポイント、残高の獲得,Yahoo!ショッピング,PayPayポイント,-,-,lp-102895974642327552-c_c58a0c7f-4db6-457f-972b-64d993c66d06_sppf
2026/05/10 21:33:19,"4,150",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04975898274805186563
2026/05/10 21:33:19,-,20,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04975898274805186563
2026/05/10 19:26:36,-,"5,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02264684677581709325
2026/05/09 14:46:47,127,-,-,-,-,-,支払い,デイリーヤマザキ - 横浜駅前,PayPay残高,-,-,04974946578774343680
2026/05/09 13:31:25,-,14,-,-,-,-,ポイント、残高の獲得,ZOZOTOWN,PayPayポイント,-,-,04973468319747375108
2026/05/09 09:39:49,226,-,-,-,-,-,支払い,ファミリーマート - 相鉄海老名駅,PayPay残高,-,-,04974788369356316675
2026/05/09 09:39:49,-,1,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04974788369356316675
2026/05/08 13:12:54,165,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04974156021321097218
2026/05/08 13:03:38,-,450,-,-,-,JP,受け取った金額,tomsdayo,PayPay残高,-,-,02263002957369196544
2026/05/08 12:52:43,419,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04974145618910314498
2026/05/08 12:52:43,-,2,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04974145618910314498
2026/05/08 12:52:32,"1,368",-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04974145524421541894
2026/05/08 12:52:32,-,6,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04974145524421541894
2026/05/08 09:58:58,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02262907780891836416
2026/05/07 17:03:50,-,3,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04973532864516628488
2026/05/07 17:03:50,650,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04973532864516628488
